,Países,Inmigrantes hombres,Inmigrantes mujeres,Inmigrantes,% Inmigrantes,Var.
0,España,2.884.000,3.007.208,5.891.208,"12,69%","-0,77"
1,Alemania,5.037.961,5.182.457,10.220.418,"12,44%","0,21"
2,Reino Unido,4.023.771,4.387.798,8.411.569,"12,87%","1,57"
3,Francia,3.806.413,4.067.759,7.874.172,"11,82%","0,57"
4,Italia,2.637.798,3.167.530,5.805.328,"9,57%","-0,18"
5,Portugal,398.390,466.424,864.814,"8,36%","1,14"
6,Estados Unidos,23.446.873,24.732.004,48.178.877,"15,01%","0,73"
7,Japón,1.050.070,1.182.119,2.232.189,"1,76%","0,09"
8,China,600.136,377.910,978.046,"0,07%","0,01"
9,Andorra,21.485,20.779,42.264,"58,92%","-7,72"
10,Emiratos Árabes Unidos,5.890.170,2.104.956,7.995.126,"89,44%","0,90"
11,Afganistán,248.212,241.537,489.749,"1,72%","1,30"
12,Antigua y Barbuda,12.524,15.559,28.083,"30,01%","-1,06"
13,Albania,26.517,25.514,52.031,"1,81%","-0,01"
14,Armenia,77.436,113.763,191.199,"6,38%","-0,09"
15,Angola,304.635,327.543,632.178,"2,37%","0,93"
16,Argentina,960.310,1.125.992,2.086.302,"4,84%","0,41"
17,Austria,716.470,775.904,1.492.374,"17,15%","1,91"
18,Australia,3.343.330,3.386.400,6.729.730,"28,06%","1,53"
19,Azerbaiyán,126.600,137.641,264.241,"2,72%","-0,32"
20,Bosnia y Herzegovina,18.400,20.174,38.574,"1,10%","0,09"
21,Barbados,15.488,18.987,34.475,"12,14%","0,42"
22,Bangladés,752.035,670.770,1.422.805,"0,91%",0
23,Bélgica,869.989,913.499,1.783.488,"15,77%","2,10"
24,Burkina Faso,335.328,369.348,704.676,"3,89%","-0,43"
25,Bulgaria,60.058,63.745,123.803,"1,73%","0,69"
26,Baréin,508.966,195.171,704.137,"51,40%","-1,87"
27,Burundi,142.790,147.020,289.810,"2,84%","0,16"
28,Benín,172.056,194.228,366.284,"3,46%","0,10"
29,Brunéi,58.181,44.552,102.733,"24,94%","-1,05"
30,Bolivia,74.939,68.050,142.989,"1,32%","0,10"
31,Brasil,386.838,329.730,716.568,"0,35%","0,05"
32,Bahamas,29.994,29.312,59.306,"16,29%","0,42"
33,Bután,43.396,7.710,51.106,"7,17%","-0,09"
34,Botsuana,58.769,44.499,103.268,"4,87%","0,11"
35,Bielorrusia,495.961,586.944,1.082.905,"11,40%","-0,10"
36,Belice,27.502,27.172,54.674,"14,86%","0,46"
37,Canadá,3.533.164,3.895.493,7.428.657,"20,81%","0,93"
38,República Democrática del Congo,401.058,423.434,824.492,"1,07%","0,18"
39,República Centroafricana,43.163,38.435,81.598,"1,82%","-0,31"
40,República del Congo,213.764,176.378,390.142,"9,43%","-2,20"
41,Suiza,1.183.243,1.233.151,2.416.394,"29,02%","2,65"
42,Costa de Marfil,1.366.634,1.101.350,2.467.984,"10,41%","-0,94"
43,Chile,301.441,338.283,639.724,"3,56%","1,36"
44,Camerún,251.311,257.035,508.346,"2,18%","0,75"
45,Colombia,74.108,65.026,139.134,"0,30%","0,02"
46,Costa Rica,197.613,214.084,411.697,"8,49%","-0,41"
47,Cuba,2.294,3.018,5.312,"0,05%","-0,01"
48,Cabo Verde,7.547,7.377,14.924,"2,80%","-0,06"
49,Chipre,84.153,107.867,192.020,"22,64%","-0,21"
50,Chequia,239.228,177.226,416.454,"3,95%","0,15"
51,Yibuti,59.081,53.270,112.351,"12,29%","0,20"
52,Dinamarca,291.431,304.445,595.876,"10,44%","1,43"
53,Dominica,4.215,3.878,8.093,"11,37%","-0,05"
54,República Dominicana,353.448,195.841,549.289,"5,50%","1,35"
55,Argelia,126.522,112.951,239.473,"0,60%",0
56,Ecuador,200.352,187.161,387.513,"2,38%","0,21"
57,Estonia,80.024,114.640,194.664,"14,79%","-1,60"
58,Egipto,207.433,146.208,353.641,"0,40%","0,01"
59,Eritrea,8.833,7.108,15.941,"0,33%","-0,16"
60,Etiopía,591.409,570.233,1.161.642,"1,29%","0,60"
61,Finlandia,159.315,155.541,314.856,"5,74%","1,49"
62,Fiyi,7.421,6.330,13.751,"1,58%","0,01"
63,Estados Federados de Micronesia,1.473,1.283,2.756,"2,65%","-0,07"
64,Gabón,243.782,134.904,378.686,"19,62%","2,80"
65,Granada,3.502,3.555,7.057,"6,42%","-0,16"
66,Georgia,33.570,43.115,76.685,"2,06%","0,43"
67,Ghana,221.026,193.718,414.744,"1,50%","0,13"
68,Gambia,101.501,91.039,192.540,"9,23%","-1,13"
69,Guinea,74.060,52.326,126.386,"1,11%","-0,53"
70,Guinea Ecuatorial,161.527,48.084,209.611,"17,84%","16,93"
71,Grecia,570.528,672.396,1.242.924,"11,53%","-0,35"
